text,label
Transaction a8d260a6-a7d8-45e9-b9c5-df36012c1d29 of 2099.59 INR from user799@upi to merchant44@upi on 2025-08-22T19:37:42.284110 status FAILED in Education.,UPI_TRANSACTION
Transaction 839429fe-162c-4185-8785-337803dd4c03 of 4440.7 INR from user340@upi to merchant82@upi on 2025-09-10T23:35:26.284110 status FAILED in Groceries.,UPI_TRANSACTION
Transaction 70b47714-7638-42cd-8580-97e139ea2ff7 of 1191.36 INR from user68@upi to merchant47@upi on 2025-09-11T00:50:33.284110 status PENDING in FoodDelivery.,UPI_TRANSACTION
Transaction 442eb125-fd52-4695-90be-f668ecb9b506 of 3508.88 INR from user301@upi to merchant131@upi on 2025-08-28T08:19:37.284110 status FAILED in FoodDelivery.,UPI_TRANSACTION
Transaction dbca0a38-fa85-4388-8824-a702f21944a0 of 3799.52 INR from user928@upi to merchant107@upi on 2025-08-31T21:45:29.284110 status PENDING in Travel.,UPI_TRANSACTION
Transaction 9b275c48-5724-49ea-851e-3c4c8ef6008c of 660.21 INR from user67@upi to merchant2@upi on 2025-09-06T05:10:09.284110 status FAILED in Shopping.,UPI_TRANSACTION
Transaction 7a65d181-2a0e-4985-8304-f1a680c26997 of 1960.38 INR from user649@upi to merchant35@upi on 2025-09-06T20:10:58.284110 status SUCCESS in Health.,UPI_TRANSACTION
Transaction 6d156276-df6b-4ac4-9c56-d8c41e1ca020 of 4419.05 INR from user74@upi to merchant149@upi on 2025-08-30T00:34:04.284110 status FAILED in Shopping.,UPI_TRANSACTION
Transaction 01559f49-4511-4176-b315-d6cfecb4821e of 4556.32 INR from user556@upi to merchant98@upi on 2025-08-17T14:36:17.284110 status FAILED in Electricity.,UPI_TRANSACTION
Transaction 2ad2ad63-68d3-47eb-8cad-dcd29595fb80 of 4351.98 INR from user104@upi to merchant120@upi on 2025-08-28T04:54:57.284110 status PENDING in Electricity.,UPI_TRANSACTION
Transaction 4c6722e6-c729-4d43-a274-47347252ba47 of 1587.62 INR from user877@upi to merchant9@upi on 2025-08-25T07:38:40.284110 status SUCCESS in Groceries.,UPI_TRANSACTION
Transaction 7b0661b9-6811-4e90-bfe2-088de8a37d68 of 3965.3 INR from user557@upi to merchant185@upi on 2025-08-22T00:49:38.284110 status PENDING in Electricity.,UPI_TRANSACTION
Transaction e111a91a-14ed-4fe2-aab8-47cdc5eae32c of 3197.61 INR from user395@upi to merchant128@upi on 2025-09-11T22:51:03.284110 status PENDING in Travel.,UPI_TRANSACTION
Transaction c5ca5919-a9e5-4f27-95c6-09a759b6b8fa of 3662.64 INR from user550@upi to merchant136@upi on 2025-09-08T13:19:19.284110 status PENDING in Travel.,UPI_TRANSACTION
Transaction 9091db62-d3a9-4f47-a777-ac80b132e445 of 73.54 INR from user302@upi to merchant73@upi on 2025-08-16T14:47:06.284110 status SUCCESS in Electricity.,UPI_TRANSACTION
Transaction 8ddb13f5-cb23-4475-bcf0-4eac2199c9e6 of 2703.0 INR from user170@upi to merchant79@upi on 2025-08-30T00:32:40.284110 status PENDING in Shopping.,UPI_TRANSACTION
Transaction 494c0fee-6345-4128-a9f7-3920703a8871 of 1284.26 INR from user69@upi to merchant64@upi on 2025-09-01T00:35:12.284110 status PENDING in Travel.,UPI_TRANSACTION
